1password-beta 8.12.30_19.BETA-19.1
libreoffice-fresh 26.2.4-4
librevenge 0.0.6-1
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libsrtp 1:2.8.0-1
libssh 0.12.0-1
libssh2 1.11.1-6
libstaroffice 0.0.8-1
libstdc++ 16.1.1+r346+g4e03491b401d-4
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-1
libtpms 0.10.2-1
libtsan 16.1.1+r346+g4e03491b401d-4
libubsan 16.1.1+r346+g4e03491b401d-4
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwbclient 2:4.24.4-1
libwebp 1.6.0-2
libwebsockets 4.5.8-1
libwireplumber 0.5.15-1
libwmf 0.2.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.8-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.28-1
libxmu 1.3.1-1
libxnvctrl 610.43.03-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
limine 12.5.1-1
limine-mkinitcpio-hook 1.36.0-1
limine-snapper-sync 1.30.1-1
linux 7.1.4.arch1-1
linux-api-headers 7.1-1
linux-firmware 20260622-1
linux-firmware-amdgpu 20260622-1
linux-firmware-atheros 20260622-1
linux-firmware-broadcom 20260622-1
linux-firmware-cirrus 20260622-1
linux-firmware-intel 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-radeon 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
linux-headers 7.1.4.arch1-1
litehtml0.9 0.9-2
lld 22.1.8-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
localsend 1.17.0-3
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lsp-plugins-lv2 1.2.33-2
lua 5.5.0-2
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
lua54-lpeg 1.1.0-5
luajit 2.1.1784535789+5f627e4-1
luarocks 3.13.0-5
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
mariadb-libs 12.3.2-3
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.5-1
mesa-utils 9.0.0-7
meson 1.11.2-1
miniupnpc 2.3.3-3
minizip 1:1.3.2-3
mise 2026.7.10-1
mjpegtools 2.2.1-4
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mlt 7.40.0-2
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.9-1
muparser 2.3.5-2
nautilus 50.2.2-1
nautilus-python 4.1.0-3
ncurses 6.6-2
neatvnc 1.0.1-1
neon 0.37.1-1
neovim 0.12.4-1
nettle 4.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nlohmann-json 3.12.0-2
node-gyp 13.0.1-1
nodejs 26.4.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.07.01-1
npm 12.0.1-1
npth 1.8-1
nspr 4.39-1
nss 3.126-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
numactl 2.0.19-1
nvidia-open-dkms 610.43.03-3
nvidia-settings 610.43.03-1
nvidia-utils 610.43.03-3
obs-studio 32.1.2-7
obsidian 1.12.7-3
ocl-icd 2.3.4-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.7.17-1
omarchy-walker 1.0.0-2
onetbb 2023.1.0-1
oniguruma 6.9.10-1
open-tv-bin 1.9.1-1
openal 1.25.2-1
openbsd-netcat 1.238_1-1
opencl-nvidia 610.43.03-3
opencode 1.18.4-1
opencore-amr 0.1.6-2
opencv 5.0.0-6
openexr 3.4.13-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.30.1-1
openrgb 1.0rc3-1
openssh 10.4p1-2
openssl 3.6.3-1
opentimelineio 0.18.1-3
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
p11-kit 0.26.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pandoc-cli 3.6.1-18
pango 1:1.58.0-1
pangomm 2.46.5-1
parted 3.7-1
patch 2.8-1
patchelf 0.19.1-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
perl 5.42.2-1
perl-error 0.17030-3
perl-image-exiftool 13.55-1
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pinta 3.1.2-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.3-1
playerctl 2.4.1-5
plocate 1.1.24-1
plymouth 26.134.222-2
polkit 127-3
polkit-gnome 0.105-12
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql 18.4-1
postgresql-libs 18.4-1
power-profiles-daemon 0.30-1
pps-tools 1.0.3-2
procps-ng 4.0.6-3
procreate-thumbnailer-git 1.0.2.r0.g4ca102c-1
protobuf 35.1-1
protonup-qt 2.15.1-1
psmisc 23.7-2
pugixml 1.16-1
purpose 6.28.0-1
pyside6 6.11.1-4
python 3.14.6-1
python-aaf2 1.7.1-4
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-cachetools 7.1.4-1
python-cairo 1.29.0-2
python-certifi 2026.06.17-1
python-cffi 2.1.0-1
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.4.7-1
python-colorama 0.4.6-6
python-cryptography 49.0.0-1
python-dbus 1.4.0-2
python-fastjsonschema 2.21.2-2
python-filelock 3.29.3-1
python-gevent 26.5.0-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-h11 0.16.0-2
python-html5lib 1.1-18
python-idna 3.18-1
python-imageio 2.37.4-1
python-imageio-ffmpeg 0.6.0-2
python-iniconfig 2.3.0-1
python-inputs 0.5-4
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lark-parser 1.3.1-2
python-libevdev 0.13.1-1
python-lxml 6.1.1-1
python-mako 1.3.12-1
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-more-itertools 11.1.0-1
python-numpy 2.5.1-1
python-packaging 26.2-1
python-pillow 12.3.0-1
python-pip 26.1.2-1
python-platformdirs 4.10.1-1
python-pluggy 1.6.0-3
python-poetry-core 2.4.1-1
python-protobuf 35.1-1
python-psutil 7.2.2-1
python-pyaml 26.7.0-1
python-pycparser 3.00-1
python-pycryptodomex 3.23.0-3
python-pycups 2.0.4-4
python-pygments 2.20.0-1
python-pyqt6 6.11.0-2
python-pyqt6-sip 13.11.1-1
python-pytest 1:9.0.3-1
python-pyudev 0.24.4-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-screeninfo 0.8.1-2
python-setproctitle 1.3.7-2
python-setuptools 1:83.0.0-1
python-shtab 1.8.1-1
python-six 1.17.0-3
python-steam 2.0.0.alpha1-2
python-termcolor 3.3.0-1
python-terminaltexteffects 0.15.0-1
python-tqdm 4.69.0-1
python-typing_extensions 4.16.0-1
python-unidecode 1.4.0-3
python-urllib3 2.7.0-1
python-vdf 4.0-5
python-wand 0.7.2-1
python-webencodings 0.5.1-13
python-wheel 0.47.0-1
python-wsproto 1.3.2-1
python-yaml 6.0.3-2
python-zope-event 6.2-1
python-zope-interface 8.5-1
python-zstandard 0.25.0-2
qca-qt6 2.3.10-7
qoi r350.4461cc3-1
qpdf 12.3.2-2
qqc2-desktop-style 6.28.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-location 5.15.19+kde+r7-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-webchannel 5.15.19-1
qt5-webengine 5.15.19-4
qt5-websockets 5.15.19+kde+r2-1
qt5-x11extras 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-graphs 6.11.1-1
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-networkauth 6.11.1-1
qt6-positioning 6.11.1-1
qt6-quick3d 6.11.1-1
qt6-quicktimeline 6.11.1-1
qt6-scxml 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-3
qt6-translations 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-4
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
raw-thumbnailer 48.0.0-1
re2 2:2025.11.05-5
readline 8.3.003-1
redland 1:1.0.17-10
remmina 1:1.4.43-3
rhash 1.4.6-1
ripgrep 15.2.0-1
rnnoise 1:0.2-1
rsync 3.4.4-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
ruby 3.4.10-1
ruby-abbrev 0.1.2-1
ruby-base64 0.3.0-1
ruby-bigdecimal 3.3.1-2
ruby-bundled-gems 3.4.10-1
ruby-bundler 4.0.3-1
ruby-csv 3.3.5-1
ruby-debug 1.11.1-1
ruby-default-gems 3.4.10-1
ruby-drb 2.2.3-1
ruby-erb 4.0.4.1-1
ruby-getoptlong 0.2.1-1
ruby-irb 1.15.0-1
ruby-matrix 0.4.3-1
ruby-minitest 5.27.0-1
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.9-1
ruby-net-imap 0.5.15-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.1-1
ruby-nkf 0.3.0-1
ruby-observer 0.1.2-3
ruby-power_assert 2.0.5-4
ruby-prime 0.1.4-1
ruby-racc 1.8.1-2
ruby-rake 13.4.2-1
ruby-rbs 3.9.2-1
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.15-1
ruby-resolv-replace 0.2.0-1
ruby-rexml 3.4.4-1
ruby-rinda 0.2.0-2
ruby-rss 0.3.3-1
ruby-stdlib 3.4.10-1
ruby-syslog 0.4.0-1
ruby-test-unit 3.7.8-1
ruby-typeprof 0.30.1-2
rubygems 3.6.9-1
runc 1.5.1-1
rust 1:1.97.1-1
satty 0.21.1-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl12-compat 1.2.68-2
sdl2-compat 2.32.70-1
sdl3 3.4.12-1
sdl3_ttf 3.2.2-3
seatd 0.9.3-1
sed 4.10-1
semver 7.8.5-1
serd 0.32.10-1
shaderc 2026.2-2
shadow 4.19.4.arch1-1
shared-mime-info 2.5.1-2
shiboken6 6.11.1-4
signal-desktop 8.19.0-1
signon-kwallet-extension 26.04.3-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
simde 0.8.2-1
simdjson 1:4.6.4-1
slang 2.3.3-4
sleuthkit 4.15.0-1
slurp 1.5.0-2
smbclient 2:4.24.4-1
snapper 0.13.1-2
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
solid 6.28.0-1
sonnet 6.28.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.44.0-3
spicetify-marketplace-bin 1.0.8-1
spirv-tools 1:1.4.350.1-1
spotify 1:1.2.92.147-1
sqlite 3.53.3-1
squashfs-tools 4.7.5-1
sratom 0.6.22-1
srt 1.5.6-1
starship 1.26.0-1
steam 1.0.0.87-1
steam-devices 1.0.0.87-1
streamcontroller 1.5.0beta15-1
sudo 1.9.17.p2-6
sunshine 2026.516.143833-1
sushi 50.0-1
svt-av1 4.2.0-1
svt-hevc 1.5.1-4
swaybg 1.2.2-1
swayosd 0.3.1-1
syndication 6.28.0-1
syslinux 6.04.pre3.r3.g05ac953c-4
system-config-printer 1.5.18-6
systemd 261.1-1
systemd-libs 261.1-1
systemd-sysvcompat 261.1-1
taglib 2.3.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
testdisk 7.2-4
tevent 1:0.17.1-2
texinfo 7.3-1
tinysparql 3.11.1-1
tldr 3.4.4-1
tmux 3.7_b-1
tobi-try 1.8.1-2
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-cascadia-mono-nerd 3.4.0-2
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
twolame 0.4.0-4
typora 1.13.6-1
tzdata 2026c-1
tzupdate 3.1.0-1
uchardet 0.0.8-4
udisks2 2.11.1-2
ufw 0.36.2-7
ufw-docker 251123-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usage 3.5.5-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uwsm 0.26.6-1
v4l-utils 1.32.0-2
valkey 9.1.0-1
vamp-plugin-sdk 1:2.10-1
vapoursynth 77-2
vencord-bin 1.15.0-1
verdict 1.4.5-2
vesktop 1.6.5-1
vid.stab 1.1.1-3
vim 9.2.0804-1
vim-runtime 9.2.0804-1
virtualbox 7.2.12-1
virtualbox-host-dkms 7.2.12-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-icd-loader 1.4.350.1-1
vulkan-mesa-implicit-layers 1:26.1.5-1
vulkan-radeon 1:26.1.5-1
wakeonlan 0.42-3
walker 2.16.2-1
wavpack 5.9.0-1
waybar 0.15.0-2
wayland 1.25.0-1
wayland-protocols 1.49-1
waypaper 2.8-1
wayvnc 0.10.1-1
webkit2gtk-4.1 2.52.5-2
webp-pixbuf-loader 0.2.7-2
webrtc-audio-processing 2.1-8
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
wget 1.25.0-6
which 2.25-1
whois 5.6.6-1
wildmidi 0.4.6-1
winboat-bin 0.9.0-1
wireless-regdb 2026.05.30-1
wiremix 0.11.0-1
wireplumber 0.5.15-1
wl-clip-persist 0.5.0-2
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
woff2-font-awesome 7.3.1-1
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.2-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.0-1
xdg-terminal-exec 0.14.0-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xmlstarlet 1.6.1-6
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-server-devel 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-util-macros 1.20.2-1
xorg-xauth 1.1.5-1
xorg-xhost 1.0.10-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xset 1.2.6-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xorgxrdp 0.10.5-1
xournalpp 1.3.5-1
xrdp 0.10.6.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 12.6.0-1
yay-debug 12.6.0-1
yoga 3.2.1-1
yt-dlp 2026.07.04-1
yt-dlp-ejs 0.8.0-1
yuki-iptv-bin 0.0.19-1
yyjson 0.12.0-1
zbar 0.23.93-7
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-13
zita-convolver 4.0.3-5
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zvbi 0.2.44-1
zxing-cpp 3.1.0-1
